,index,iso,"('Index',)","('RF',)","('NuSVR',)","('GBR',)","('DTREE',)","('ADA_DTREE',)"
0,743,488.5183233269152,0,489.5105759413082,490.6571942125116,489.7327210536055,489.71937187036673,489.9019321876779
1,1164,488.1289172676364,1,489.4545047134739,490.4283660100044,489.7004734248257,489.71937187036673,489.7025812281281
2,588,503.6968224661167,2,499.4723594366403,497.7872246430314,499.2906903089015,498.0533875145395,498.1469967992917
3,81,492.8410568307236,3,490.5586280437826,490.0742345966013,490.2044766554573,489.71937187036673,489.7038710453105
4,764,495.954395911723,4,497.8942853298248,499.4089180693991,497.1573908054232,498.0533875145395,499.1456427088429
5,1392,499.96257862631,5,495.4860173975855,495.54100403037006,494.5911241713976,494.1280377438568,495.0381527718334
6,1000,496.1489888722417,6,498.49964494918834,499.5021865455232,498.87662159232485,498.0533875145395,499.3697697690207
7,731,489.7962764455003,7,490.0836282789488,489.9005938238759,490.0264410144405,489.71937187036673,489.9687149318097
8,1005,492.0425433457284,8,492.91771202733247,493.8225550013951,493.61068484110575,494.1280377438568,494.28264716779466
9,1127,488.1768091545241,9,488.9404061854199,489.9842316336896,489.39843375419946,489.71937187036673,489.7762897065912
10,232,492.3117619739739,10,493.9202600399879,494.7132586458738,495.1078077287567,495.1490258760933,494.7077165024053
11,917,491.5294508656364,11,492.6327197617877,492.70353934085057,492.7853010552971,495.1490258760933,493.4949909541461
12,50,490.7052648141946,12,493.6870971071778,492.9250702610836,493.4179728547545,493.01795119742974,493.6604563458821
13,270,487.13868389613776,13,489.1671466086912,490.0545894355545,490.3327435478623,489.71937187036673,489.9019321876779
14,1379,491.35666187124906,14,490.5834180020879,489.93711415790926,490.12266397457176,490.8529065750889,490.7669667052341
15,1092,489.9761839604148,15,492.3237010453906,493.3346282892927,493.1356443781586,493.01795119742974,493.5846233429327
16,259,496.5876227585395,16,497.8958885704722,497.6076604256946,499.4827880549817,498.0533875145395,499.8736383550794
17,1120,497.8693100865451,17,494.4316624126644,492.92548517056906,494.5567992886504,493.01795119742974,493.4753170386333
18,1156,505.93795619408,18,501.8578536034712,500.0399744316797,501.8104661497715,500.726658035386,500.9891135431892
19,311,486.9109732324291,19,491.87895189685946,492.78606418305367,492.42828091320257,493.01795119742974,492.2973128831039
20,358,486.1398609675545,20,491.3018853277422,493.2583068163818,491.8540046203591,493.01795119742974,490.89197278339935
21,788,493.2707596156201,21,491.1468053832995,490.2661071943053,490.8823123347274,489.71937187036673,489.7025812281281
22,1195,494.6027973519485,22,491.7620027926508,490.50076006125926,491.21726602200187,490.8529065750889,490.8905660746823
23,1396,498.0744108055136,23,496.4314849636234,495.22106526147934,496.1541963194389,494.1280377438568,495.972928867169
24,1145,488.9304224477367,24,489.7544858568672,489.9889356934555,490.0642810582706,489.71937187036673,489.7025812281281
25,1134,493.5689422395205,25,491.4036150417552,490.19495583629566,491.9235200162498,489.71937187036673,489.77821250830334
26,1323,488.0573522596815,26,488.88883975749457,490.049458260288,489.5496228952242,489.71937187036673,489.6553447505154
