,Index,vote,TS,XGB,Random Forest Regressor,bayes,svr,lars,Linear Regression,lasso,ridge,elastic
0,0,489.8240843905866,490.3263384190697,489.90622,489.5447683898656,490.2558511055311,492.48435469808175,490.010011947669,490.0406149486114,492.48435469808175,490.1244738532924,492.08715408409336
1,1,489.48459006220287,490.0005003693192,489.89993,489.013491586496,490.07035571899,492.48435469808175,489.96725903943246,490.21285363457577,492.48435469808175,490.13247432319656,491.9616459307633
2,2,498.4652546429479,492.2315455928312,499.46207,501.5798554941706,497.3645629420538,492.48435469808175,496.79276876879874,497.7004181029664,492.48435469808175,497.4838652371991,493.3159148227059
3,3,490.6234264802904,490.2691308929923,490.14667,491.6253831803991,489.9707353551252,492.48435469808175,489.95867045247263,490.0282639853152,492.48435469808175,490.00409294593646,491.8764661905503
4,4,500.7217526426909,500.8105401311821,498.80136,496.90982207500144,500.0961118164653,492.48435469808175,499.4779122437334,499.9074213688215,492.48435469808175,500.013226513644,493.77790137172445
5,5,493.0392681651174,495.9445459349968,494.74347,498.1682902502404,494.1573671470025,492.48435469808175,494.4680783936506,493.7772821022958,492.48435469808175,493.9875520307944,493.0245742023336
6,6,500.8611041695376,502.21189903558496,498.15692,497.0999012777112,499.8835500481548,492.48435469808175,500.1329450895453,499.9462001420455,492.48435469808175,499.8531764072117,493.8097227871075
7,7,490.0978974087333,490.6218328363012,489.89774,490.3727506566236,489.7662343131904,492.48435469808175,489.9486226865031,489.40551916879633,492.48435469808175,489.62392835695726,491.9010053692558
8,8,493.1985311572953,493.77880371884544,493.70624,492.5175263384707,493.3932955791551,492.48435469808175,492.92098232812,493.2612258765831,492.48435469808175,493.2441525898128,493.0397144326399
9,9,489.23329460396025,489.5469538543268,489.6132,488.6452579000251,489.8959911025978,492.48435469808175,489.9865641967185,490.0461973860275,492.48435469808175,489.93542652881104,491.8890472741506
10,10,495.09466605085066,502.85911177481546,494.67523,493.2961649455266,495.7433499948197,492.48435469808175,495.93698925842335,497.0756580574327,492.48435469808175,496.36993449302287,492.8111223959504
11,11,490.0757929962354,492.16705481756105,492.95966,492.2110558374612,493.6787230515552,492.48435469808175,493.5075839464616,493.1819098668438,492.48435469808175,493.38100556691086,492.9685420108057
12,12,490.0088365792408,489.8709475056398,492.70078,492.0276849231089,492.29696465663454,492.48435469808175,492.6134128430121,491.7275550990685,492.48435469808175,492.0231866000681,492.6083395455384
13,13,489.4547422013464,490.4471943590648,489.93024,488.02323110464016,489.9207053438103,492.48435469808175,490.13456838294,490.0358432602844,492.48435469808175,489.9668383415744,491.92805575992605
14,14,490.59174509181065,490.06663132441975,490.34198,491.1251950561251,490.1065969988316,492.48435469808175,490.10962834264143,490.2931370048405,492.48435469808175,490.20469905481,491.8962294698909
15,15,493.1414247028248,495.5017381331487,492.87866,490.8163916201154,493.16602388294615,492.48435469808175,493.842209260573,493.37067670302537,492.48435469808175,493.2507474968911,492.6794669358288
16,16,496.83852753503714,493.1132199928401,498.87152,497.8747023126292,497.2721942423175,492.48435469808175,496.7009368215277,496.5777842003501,492.48435469808175,497.09239690854,493.3154493273775
17,17,491.5832978851079,490.654563836456,492.84207,496.0401511072631,492.62149152330176,492.48435469808175,492.8855390289227,492.1847537645976,492.48435469808175,492.4152016134629,492.6163057257728
18,18,503.2816537851127,498.583214479952,502.5141,504.2976564291715,499.4682600873031,492.48435469808175,499.7344689111704,499.3402785616258,492.48435469808175,499.3879839986299,493.6440162307607
19,19,488.8960199584588,489.8334020626703,492.07553,488.7465145308969,492.5943752265544,492.48435469808175,492.8720090261767,492.22622996428106,492.48435469808175,492.387815417902,492.625500478479
20,20,491.6271278065181,494.79960475630384,491.85303,488.2891957099324,493.0182112385922,492.48435469808175,493.70692666117753,493.0701457703964,492.48435469808175,493.0438344952682,492.6805700845843
21,21,491.07367522182864,490.4489088952359,490.32852,492.4595314936764,489.8971714327912,492.48435469808175,490.0028595110362,489.8993169191879,492.48435469808175,489.8771830567341,491.9528495156751
22,22,491.595916430696,490.46757957643945,491.0869,493.5244328471942,490.4812187143938,492.48435469808175,490.43644975303255,490.5880987630849,492.48435469808175,490.5437198020512,492.0067851736864
23,23,496.2553027985087,502.2389982538504,496.26117,497.55490498571606,493.0705739058181,492.48435469808175,492.84675948444624,493.2120487453485,492.48435469808175,493.07324774986495,492.74190859581415
24,24,489.8213289329886,489.459622165744,490.14343,489.4075955761528,490.07941922915126,492.48435469808175,490.31407067232936,489.59529692233,492.48435469808175,489.88896184592426,492.0060703102603
25,25,491.2819099900005,490.3124714669055,490.8372,491.99977373604224,490.07239356902033,492.48435469808175,490.05234733982354,490.1268034294256,492.48435469808175,490.09917529630553,491.8981835467366
26,26,489.3147334142152,490.1120976796855,489.36932,488.4082761321039,489.7147229813895,492.48435469808175,489.7068364015764,489.7831545476159,492.48435469808175,489.70877205774536,491.8758573551958
27,27,491.6700417241337,493.7259966511776,493.8326,491.7879330089431,495.959326962984,492.48435469808175,495.5246500244791,496.42067881471775,492.48435469808175,496.3696715275224,492.8482229744382
28,28,491.8063860134928,493.31370452252366,493.93903,494.4393366992292,494.4533667546437,492.48435469808175,493.7185101357198,494.2439034937647,492.48435469808175,494.345743973432,492.9330038360547
29,29,491.3939372362533,492.087906452788,494.167,492.348801563886,494.0525166896717,492.48435469808175,494.4817919396028,494.0420631482061,492.48435469808175,493.9194062957477,492.96789783158346
30,30,499.5874666637017,497.166032069234,499.118,498.3855705221124,499.4017335382998,492.48435469808175,499.7727639573493,499.2786392597707,492.48435469808175,499.3371895794784,493.6344327737274
31,31,498.72505068293657,492.7532715785335,499.94107,500.7563454320921,497.4683574586562,492.48435469808175,496.8589868035976,497.8402777822916,492.48435469808175,497.6338682256959,493.3048942709488
32,32,491.2677306780103,490.9391766345122,490.57803,492.2069234330593,490.4191551298693,492.48435469808175,490.4261264360411,490.37801354595297,492.48435469808175,490.423654630841,491.98720776213554
33,33,490.4175832701717,490.9985318629617,490.07233,490.1568983175801,489.67626860217865,492.48435469808175,489.7758424745408,489.9119190366114,492.48435469808175,489.7520032519578,492.0064286758657
34,34,490.2411684368584,489.8468011194108,490.2983,490.49620085012606,489.87940197451735,492.48435469808175,489.9812822447456,489.86223864606177,492.48435469808175,489.8333665077811,491.9580037074292
35,35,490.0368035246927,490.5999390975812,489.72665,489.6176985241031,490.7315127623243,492.48435469808175,490.5244303122189,490.2149156802981,492.48435469808175,490.5556942780644,492.0801386202512
36,36,489.7633524074411,489.68271825415513,489.9283,488.7030310408294,490.0360647750483,492.48435469808175,490.1572328145122,489.857278644942,492.48435469808175,489.92775267040776,492.476341158095
37,37,492.2043141700252,491.1344627983444,490.6834,495.0039616553484,490.8362754135075,492.48435469808175,490.8747771639176,491.06922007242457,492.48435469808175,491.06018855183504,491.9552643686803
38,38,495.18157137740985,495.9177865880146,496.52072,497.59780315376486,494.7439698209485,492.48435469808175,494.1148771073128,494.4647450080368,492.48435469808175,494.6587437887364,492.8829396308967
39,39,488.7682518692562,490.59323814247927,488.97452,486.56436973777176,490.9766557781295,492.48435469808175,490.8479805702985,491.0807178103869,492.48435469808175,491.0788073272804,492.04523937608286
40,40,501.25953093555455,510.13158679419325,499.74954,499.8767614701807,500.6995304570284,492.48435469808175,500.54721332291786,501.2686808082246,492.48435469808175,501.0136538458293,493.7859672053712
41,41,490.1872186256284,490.1940512895857,490.30402,490.148831497269,490.1752292835893,492.48435469808175,490.14491122330617,490.2938042332359,492.48435469808175,490.23548407479154,491.89131539083536
42,42,490.4490770944297,490.79678112765686,490.58536,489.9836225304009,490.1249963191192,492.48435469808175,490.2784759068896,490.3349657563275,492.48435469808175,490.222957862491,491.9313360915074
43,43,488.1486804668632,489.9071093496262,488.2658,485.8429783850257,490.6270129948268,492.48435469808175,490.261135126376,490.3666230895154,492.48435469808175,490.49233153830505,492.0883671382561
44,44,491.9131841640735,490.3721525048372,490.84537,494.8705919234094,490.6034794144752,492.48435469808175,490.4045565817543,490.41760650555335,492.48435469808175,490.51039316343184,492.070025797434
45,45,490.346104426468,491.1479090010319,490.46915,489.3878528184538,490.3230476520581,492.48435469808175,490.3952160210396,490.4644549104844,492.48435469808175,490.4106011920153,491.93934487520585
46,46,497.7157540026614,493.52483811623097,498.8278,498.3057186535938,497.55634295320095,492.48435469808175,496.8705372098517,497.881981222789,492.48435469808175,497.7523165520436,493.291238839088
47,47,490.9779727090676,490.7396992553857,490.87796,491.75687312578685,490.3313422363484,492.48435469808175,490.236750660752,490.4304173473151,492.48435469808175,490.3792459439012,491.9971062701932
48,48,490.2540660499593,490.6247993623,490.55115,489.5911692061177,490.1337884167173,492.48435469808175,490.1830602733645,490.2919930364348,492.48435469808175,490.2127017756336,491.8836456714787
49,49,493.9429343678647,494.4918339739477,493.776,494.84030592929855,492.78664285322367,492.48435469808175,493.4430322635608,492.5660838080312,492.48435469808175,492.7304299542863,492.6159747024193
50,50,492.203144576064,491.76315443264014,493.34128,494.8916817373071,492.4779628473312,492.48435469808175,492.98093785032,492.20191053495137,492.48435469808175,492.2755513584194,492.6099104391477
51,51,489.4398635274806,489.9155652306448,489.82632,488.2349164335474,489.53338814264526,492.48435469808175,490.1535239314066,489.45772004640617,492.48435469808175,489.4411663130506,491.9389565856151
52,52,490.3018841807154,490.00869032435776,490.3764,491.0514859174031,490.1271148495607,492.48435469808175,490.1972355060979,490.1413800430935,492.48435469808175,490.13753006752273,491.9403108140754
53,53,490.6851443837223,490.0453818105242,490.4002,491.5284909757568,490.411647926298,492.48435469808175,490.3902881185447,490.4439895243619,492.48435469808175,490.4290829829694,492.0037468277306
54,54,493.18292340982856,493.8898496107803,493.1971,492.5253309176119,493.5554543027956,492.48435469808175,493.0304823905953,493.9053257796335,492.48435469808175,493.5732325571906,493.05047587341954
55,55,490.577689754651,489.6346620601366,490.01074,491.8461067583832,489.547746472824,492.48435469808175,489.8050440126754,489.5516905297427,492.48435469808175,489.5326094015859,491.8864438562388
56,56,490.3861641994499,490.66713265573264,490.43195,490.0182808702554,490.4568652581544,492.48435469808175,490.5119927565347,490.6209246223492,492.48435469808175,490.5688487202159,491.9565789631798
57,57,490.89944437502953,491.1349618961149,491.0474,490.6683651334798,489.84195144701465,492.48435469808175,490.0257184719957,490.1724161521298,492.48435469808175,489.9800589571597,491.9974063554032
58,58,489.2296047477336,489.9089935073872,489.76303,488.6100291355282,489.937836685016,492.48435469808175,489.8482632153133,490.1086339508486,492.48435469808175,490.00776369273774,491.8923672249369
