,"RandomForestRegressor(criterion='mae', max_depth=29, max_features='sqrt',
                      min_samples_leaf=5, min_samples_split=5,
                      n_estimators=1000, random_state=6)",NuSVR(kernel='poly'),"GradientBoostingRegressor(learning_rate=0.3, min_samples_leaf=30,
                          min_samples_split=60, n_estimators=20,
                          random_state=0)","DecisionTreeRegressor(max_depth=3, min_samples_leaf=60, min_samples_split=5)","AdaBoostRegressor(base_estimator=DecisionTreeRegressor(max_depth=4),
                  learning_rate=0.3, loss='exponential', n_estimators=80,
                  random_state=0)"
0,489.5105759413082,490.65719421251157,489.7327210536055,489.71937187036673,489.9019321876779
1,489.4545047134739,490.4283660100044,489.7004734248257,489.71937187036673,489.7025812281281
2,499.4723594366403,497.78722464303144,499.2906903089015,498.0533875145395,498.1469967992917
3,490.5586280437826,490.0742345966013,490.2044766554573,489.71937187036673,489.7038710453105
4,497.89428532982475,499.4089180693991,497.1573908054232,498.0533875145395,499.1456427088429
5,495.4860173975855,495.54100403037006,494.5911241713976,494.12803774385674,495.0381527718334
6,498.49964494918834,499.50218654552316,498.87662159232485,498.0533875145395,499.36976976902065
7,490.08362827894877,489.90059382387585,490.02644101444054,489.71937187036673,489.9687149318097
8,492.91771202733247,493.8225550013951,493.61068484110575,494.12803774385674,494.28264716779466
9,488.9404061854199,489.9842316336896,489.39843375419946,489.71937187036673,489.77628970659123
10,493.9202600399879,494.7132586458738,495.1078077287567,495.1490258760933,494.70771650240533
11,492.6327197617877,492.70353934085057,492.7853010552971,495.1490258760933,493.4949909541461
12,493.6870971071778,492.9250702610836,493.4179728547545,493.01795119742974,493.66045634588204
13,489.1671466086912,490.0545894355545,490.3327435478623,489.71937187036673,489.9019321876779
14,490.58341800208785,489.93711415790926,490.12266397457176,490.8529065750889,490.76696670523404
15,492.32370104539064,493.3346282892927,493.13564437815864,493.01795119742974,493.5846233429327
16,497.8958885704722,497.60766042569463,499.4827880549817,498.0533875145395,499.8736383550794
17,494.4316624126644,492.92548517056906,494.5567992886504,493.01795119742974,493.47531703863325
18,501.8578536034712,500.03997443167964,501.8104661497715,500.726658035386,500.98911354318915
19,491.87895189685946,492.78606418305367,492.42828091320257,493.01795119742974,492.2973128831039
20,491.3018853277422,493.25830681638183,491.8540046203591,493.01795119742974,490.89197278339935
21,491.1468053832995,490.2661071943053,490.88231233472743,489.71937187036673,489.7025812281281
22,491.76200279265083,490.50076006125926,491.21726602200187,490.8529065750889,490.8905660746823
23,496.4314849636234,495.22106526147934,496.1541963194389,494.12803774385674,495.972928867169
24,489.7544858568672,489.9889356934555,490.06428105827064,489.71937187036673,489.7025812281281
25,491.40361504175524,490.19495583629566,491.9235200162498,489.71937187036673,489.77821250830334
26,488.88883975749457,490.04945826028796,489.5496228952242,489.71937187036673,489.6553447505154
27,492.76096498579136,494.47009527670946,493.2727465786069,494.12803774385674,493.5500440648805
28,494.1386988361627,494.2869698314734,494.3652560498484,495.1490258760933,494.64359651630303
29,494.08547070378006,494.0293873967755,494.34309574062036,495.1490258760933,494.21898516407305
30,498.58843331379757,499.15586244489896,499.34976711115434,500.726658035386,499.8179605103801
31,500.334138574625,497.7578575637227,500.3805489201574,498.0533875145395,500.7808154871129
32,491.5462159999094,490.3228481287178,491.5098452177501,490.8529065750889,490.54061223132544
33,490.2555247823004,490.16464322310014,489.81068474194996,489.71937187036673,489.9019321876779
34,490.37665770341346,490.25338102078723,490.3253585758665,489.71937187036673,489.7025812281281
35,489.6672219884707,490.6245467981671,489.0217019907385,489.71937187036673,489.9019321876779
36,489.1378341935891,489.7002787191801,490.2391488421427,489.71937187036673,489.5888471973705
37,491.8828489183744,490.7469984767789,491.4168726809236,490.8529065750889,491.8017889109861
38,496.40204667572414,494.0965935220609,495.0950051642255,495.1490258760933,497.6156566643051
39,488.3836002910848,490.6833129822608,489.0052585280669,490.8529065750889,490.05765720454445
40,499.4548235647084,502.06404341438696,500.3495653439387,500.726658035386,499.8736383550794
41,489.934176778657,490.1062011918984,489.9094729700575,489.71937187036673,489.73201852891054
42,490.2285893636189,490.1409484280561,490.7763092717737,490.8529065750889,490.6057057605461
43,488.49649940323627,490.72552157075756,488.07191927403454,489.71937187036673,489.4640553295693
44,490.9811137118814,490.473300162199,490.57045392246545,489.71937187036673,491.3367700103642
45,489.7441715240979,490.4928898744322,491.145691237787,490.8529065750889,490.11378796252427
